food_name,carbs,protein,sugar
"alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 100 proof",0.0,0.0,0.0
"alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 80 proof",0.0,0.0,0.0
"alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 86 proof",0.1,0.0,0.0
"alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 90 proof",0.0,0.0,0.0
"alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 94 proof",0.0,0.0,0.0
"alcoholic beverage, distilled, rum, 80 proof",0.0,0.0,0.0
"alcoholic beverage, distilled, vodka, 80 proof",0.0,0.0,0.0
"alcoholic beverage, distilled, whiskey, 86 proof",0.1,0.0,0.1
"alcoholic beverage, liqueur, coffee with cream, 34 proof",20.9,2.8,19.76
"alcoholic beverage, liqueur, coffee, 53 proof",46.8,0.1,38.3
"alcoholic beverage, liqueur, coffee, 63 proof",32.2,0.1,32.2
"alcoholic beverage, malt beer, hard lemonade",10.07,0.0,9.77
"alcoholic beverage, pina colada, canned",27.6,0.6,0.0
"alcoholic beverage, pina colada, prepared-from-recipe",22.66,0.42,22.33
"alcoholic beverage, rice (sake)",5.0,0.5,0.0
"alcoholic beverage, tequila sunrise, canned",11.3,0.3,0.0
"alcoholic beverage, whiskey sour",13.17,0.0,0.0
"alcoholic beverage, whiskey sour, canned",13.4,0.0,0.0
"alcoholic beverage, whiskey sour, prepared from item 14028",12.82,0.06,12.78
"alcoholic beverage, whiskey sour, prepared with water, whiskey and powder mix",15.85,0.1,15.81
"alcoholic beverage, wine, cooking",6.3,0.5,1.55
"alcoholic beverage, wine, dessert, dry",11.67,0.2,1.09
"alcoholic beverage, wine, dessert, sweet",13.69,0.2,7.78
"alcoholic beverage, wine, light",1.17,0.07,1.15
"alcoholic beverage, wine, table, all",2.72,0.07,0.79
"alcoholic beverage, wine, table, red",2.61,0.07,0.62
"alcoholic beverage, wine, table, white",2.6,0.07,0.96
"alcoholic beverage, wine, table, white, chardonnay",2.16,0.07,0.96
"alcoholic beverage, wine, table, white, chenin blanc",3.31,0.07,0.0
"alcoholic beverage, wine, table, white, fume blanc",2.27,0.07,0.0
"alcoholic beverage, wine, table, white, gewurztraminer",2.6,0.07,0.0
"alcoholic beverage, wine, table, white, muller thurgau",3.48,0.07,0.0
"alcoholic beverage, wine, table, white, muscat",5.23,0.07,0.0
"alcoholic beverage, wine, table, white, pinot blanc",1.94,0.07,0.0
"alcoholic beverage, wine, table, white, pinot gris (grigio)",2.06,0.07,0.0
"alcoholic beverage, wine, table, white, riesling",3.74,0.07,0.0
"alcoholic beverage, wine, table, white, sauvignon blanc",2.05,0.07,0.0
"alcoholic beverage, wine, table, white, semillon",3.12,0.07,0.0
"alcoholic beverage, wine, table, white, late harvest",13.39,0.07,0.0
"alcoholic beverage, wine, table, white, late harvest, gewurztraminer",11.39,0.07,0.0
"alcoholic beverages, beer, higher alcohol",0.27,0.9,0.0
"alcoholic beverages, wine, rose",3.8,0.36,3.8
"alfalfa seeds, sprouted, raw",2.1,3.99,0.2
"amaranth grain, cooked",18.69,3.8,0.0
"amaranth grain, uncooked",65.25,13.56,1.69
"amaranth leaves, cooked, boiled, drained, with salt",4.11,2.11,0.0
"amaranth leaves, cooked, boiled, drained, without salt",4.11,2.11,0.0
"amaranth leaves, raw",4.02,2.46,0.0
"andrea's, gluten free soft dinner roll",40.24,5.65,2.98
"animal fat, bacon grease",0.0,0.0,0.0
"apple juice, canned or bottled, unsweetened, with added ascorbic acid",11.3,0.1,9.62
"apple juice, canned or bottled, unsweetened, with added ascorbic acid, calcium, and potassium",11.49,0.12,9.47
"apple juice, canned or bottled, unsweetened, without added ascorbic acid",11.3,0.1,9.62
"apple juice, frozen concentrate, unsweetened, diluted with 3 volume water without added ascorbic acid",11.54,0.14,10.93
"apple juice, frozen concentrate, unsweetened, diluted with 3 volume water, with added ascorbic acid",11.54,0.14,0.0
"apple juice, frozen concentrate, unsweetened, undiluted, with added ascorbic acid",41.0,0.51,38.83
"apple juice, frozen concentrate, unsweetened, undiluted, without added ascorbic acid",41.0,0.51,38.83
"apples, canned, sweetened, sliced, drained, heated",16.84,0.18,14.84
"apples, dehydrated (low moisture), sulfured, stewed",19.91,0.28,0.0
"apples, dehydrated (low moisture), sulfured, uncooked",93.53,1.32,81.13
"apples, dried, sulfured, stewed, with added sugar",20.73,0.2,0.0
"apples, dried, sulfured, stewed, without added sugar",15.32,0.22,13.32
"apples, dried, sulfured, uncooked",65.89,0.93,57.19
"apples, frozen, unsweetened, heated (includes foods for usda's food distribution program)",12.0,0.29,0.0
"apples, frozen, unsweetened, unheated (includes foods for usda's food distribution program)",12.31,0.28,10.1
"apples, raw, fuji, with skin (includes foods for usda's food distribution program)",15.22,0.2,11.68
"apples, raw, gala, with skin (includes foods for usda's food distribution program)",13.68,0.25,10.37
"apples, raw, golden delicious, with skin",13.6,0.28,10.04
"apples, raw, granny smith, with skin (includes foods for usda's food distribution program)",13.61,0.44,9.59
"apples, raw, red delicious, with skin (includes foods for usda's food distribution program)",14.06,0.27,10.48
"apples, raw, with skin (includes foods for usda's food distribution program)",13.81,0.26,10.39
"apples, raw, without skin",12.76,0.27,10.1
"apples, raw, without skin, cooked, boiled",13.64,0.26,11.01
"apples, raw, without skin, cooked, microwave",14.41,0.28,11.61
"applesauce, canned, sweetened, with salt",19.91,0.18,0.0
"applesauce, canned, sweetened, without salt",17.49,0.16,14.67
"applesauce, canned, unsweetened, with added ascorbic acid",11.27,0.17,9.39
"applesauce, canned, unsweetened, without added ascorbic acid (includes foods for usda's food distribution program)",11.27,0.17,9.39
"apricot nectar, canned, with added ascorbic acid",13.63,0.17,12.79
"apricots, canned, extra heavy syrup pack, without skin, solids and liquids",24.85,0.55,0.0
"apricots, canned, extra light syrup pack, with skin, solids and liquids (includes foods for usda's food distribution program)",12.5,0.6,0.0
"apricots, canned, heavy syrup pack, with skin, solids and liquids",21.47,0.53,19.87
"apricots, canned, heavy syrup pack, without skin, solids and liquids",21.45,0.51,0.0
"apricots, canned, heavy syrup, drained",21.31,0.64,18.65
"apricots, canned, juice pack, with skin, solids and liquids",12.34,0.63,10.74
"apricots, canned, light syrup pack, with skin, solids and liquids",16.49,0.53,14.89
"apricots, canned, water pack, with skin, solids and liquids",6.39,0.71,4.79
"apricots, canned, water pack, without skin, solids and liquids",5.48,0.69,0.0
"apricots, dehydrated (low-moisture), sulfured, stewed",32.62,1.93,0.0
"apricots, dehydrated (low-moisture), sulfured, uncooked",82.89,4.9,0.0
"apricots, dried, sulfured, stewed, with added sugar",29.26,1.17,0.0
"apricots, dried, sulfured, stewed, without added sugar",22.15,1.2,19.57
"apricots, dried, sulfured, uncooked",62.64,3.39,53.44
"apricots, frozen, sweetened",25.1,0.7,0.0
"apricots, raw",11.12,1.4,9.24
"archway home style cookies, chocolate chip ice box",65.02,4.28,34.06
"archway home style cookies, coconut macaroon",61.23,3.02,45.16
"archway home style cookies, date filled oatmeal",68.16,4.67,34.27
"archway home style cookies, dutch cocoa",69.44,4.5,35.35
"archway home style cookies, frosty lemon",64.78,4.41,33.35
"archway home style cookies, iced molasses",69.12,3.5,38.43
"archway home style cookies, iced oatmeal",66.76,4.89,37.2
"archway home style cookies, molasses",69.41,4.25,36.35
"archway home style cookies, oatmeal",68.17,5.48,34.5
"archway home style cookies, oatmeal raisin",69.27,5.17,39.55
"archway home style cookies, old fashioned molasses",70.55,4.27,36.09
"archway home style cookies, old fashioned windmill cookies",72.23,5.17,32.64
"archway home style cookies, peanut butter",58.48,9.0,32.55
"archway home style cookies, raspberry filled",65.92,4.35,31.76
"archway home style cookies, reduced fat ginger snaps",76.23,4.67,36.28
"archway home style cookies, strawberry filled",65.92,4.35,31.76
"archway home style cookies, sugar free oatmeal",67.2,5.54,1.26
"arrowhead, cooked, boiled, drained, with salt",16.14,4.49,0.0
"arrowhead, cooked, boiled, drained, without salt",16.14,4.49,0.0
"arrowhead, raw",20.23,5.33,0.0
arrowroot flour,88.15,0.3,0.0
"arrowroot, raw",13.39,4.24,0.0
"artichokes, (globe or french), cooked, boiled, drained, with salt",11.39,2.89,0.99
"artichokes, (globe or french), cooked, boiled, drained, without salt",11.95,2.89,0.99
"artichokes, (globe or french), frozen, cooked, boiled, drained, with salt",9.18,3.11,0.84
"artichokes, (globe or french), frozen, cooked, boiled, drained, without salt",9.18,3.11,0.84
"artichokes, (globe or french), frozen, unprepared",7.75,2.63,0.0
"artichokes, (globe or french), raw",10.51,3.27,0.99
"artificial blueberry muffin mix, dry",77.45,4.7,0.0
"arugula, raw",3.65,2.58,2.05
ascidians (tunughnak) (alaska native),0.0,3.8,0.0
"asparagus, canned, drained solids",2.46,2.14,1.06
"asparagus, canned, no salt added, solids and liquids",2.48,1.8,1.0
"asparagus, canned, regular pack, solids and liquids",2.48,1.8,0.0
"asparagus, cooked, boiled, drained",4.11,2.4,1.3
"asparagus, cooked, boiled, drained, with salt",4.11,2.4,1.3
"asparagus, frozen, cooked, boiled, drained, with salt",1.92,2.95,0.32
"asparagus, frozen, cooked, boiled, drained, without salt",1.92,2.95,0.32
"asparagus, frozen, unprepared",4.1,3.23,0.0
"asparagus, raw",3.88,2.2,1.88
"avocados, raw, california",8.64,1.96,0.3
"avocados, raw, florida",7.82,2.23,2.42
"avocados, raw, all commercial varieties",8.53,2.0,0.66
"banquet, salisbury steak with gravy, family size, frozen, unprepared",6.96,6.89,0.28
"burger king, croissan'wich with egg and cheese",24.79,10.35,4.03
"burger king, croissan'wich with sausage and cheese",23.0,13.73,3.36
"burger king, croissan'wich with sausage, egg and cheese",15.9,12.09,3.12
"burger king, cheeseburger",23.71,14.57,4.49
"burger king, chicken strips",20.49,18.2,0.0
"burger king, double whopper, no cheese",13.74,13.94,3.52
"burger king, double whopper, with cheese",13.52,14.47,3.61
"burger king, double cheeseburger",17.43,16.83,4.17
"burger king, hamburger",26.76,14.85,5.6
"burger king, hash brown rounds",29.37,2.8,0.63
"burger king, onion rings",43.58,3.86,5.43
"burger king, original chicken sandwich",26.22,12.14,3.02
"burger king, premium fish sandwich",26.69,10.29,3.53
"burger king, vanilla shake",19.03,3.19,11.67
"burger king, whopper, no cheese",18.55,10.74,4.22
"burger king, whopper, with cheese",16.7,11.19,4.11
"burger king, french fries",38.7,3.23,0.51
"burger king, french toast sticks",41.21,6.0,9.89
"babyfood, baby mum mum rice biscuits",83.21,12.5,12.5
"babyfood, gerber, 2nd foods, apple, carrot and squash, organic",14.82,1.1,9.09
"babyfood, gerber, 3rd foods, apple, mango and kiwi",12.88,0.47,10.18
"babyfood, gerber, banana with orange medley",20.41,1.06,14.27
"babyfood, gerber, graduates lil biscuits vanilla wheat",72.48,7.97,24.9
"babyfood, multigrain whole grain cereal, dry fortified",80.06,6.67,26.67
"babyfood, snack, gerber, graduates, lil crunchies, baked whole grain corn snack",61.59,0.0,0.0
"babyfood, apple yogurt dessert, strained",19.5,0.8,12.02
"babyfood, apple-banana juice",12.3,0.2,11.0
"babyfood, apples with ham, strained",10.9,2.6,7.98
"babyfood, apples, dices, toddler",11.56,0.19,10.48
"babyfood, baked product, finger snacks cereal fortified",76.68,6.4,28.0
"babyfood, banana apple dessert, strained",16.3,0.3,14.66
"babyfood, banana juice with low fat yogurt",17.54,2.5,13.28
"babyfood, banana no tapioca, strained",21.34,1.0,11.36
"babyfood, banana with mixed berries, strained",21.31,1.01,15.0
"babyfood, beverage, gerber, graduates, fruit splashers",7.35,0.0,6.12
"babyfood, carrots and beef, strained",5.7,3.4,2.04
"babyfood, carrots, toddler",5.23,0.6,2.5
"babyfood, cereal, oatmeal, dry, gerber, single grain, fortified",73.57,10.94,12.27
"babyfood, cereal, barley, dry fortified",69.4,13.2,13.2
"babyfood, cereal, barley, prepared with whole milk",9.94,3.73,5.1
"babyfood, cereal, brown rice, dry, instant",85.98,8.7,0.72
"babyfood, cereal, egg yolks and bacon, junior",6.2,2.5,0.0
"babyfood, cereal, high protein, prepared with whole milk",11.6,8.7,0.0
"babyfood, cereal, high protein, with apple and orange, dry",57.6,25.4,0.0
"babyfood, cereal, high protein, with apple and orange, prepared with whole milk",13.4,6.9,0.0
"babyfood, cereal, mixed, dry fortified",78.21,6.66,26.66
"babyfood, cereal, mixed, prepared with whole milk",12.3,4.14,4.78
"babyfood, cereal, mixed, with applesauce and bananas, junior, fortified",18.79,0.71,11.1
"babyfood, cereal, mixed, with applesauce and bananas, strained",18.38,0.71,11.1
"babyfood, cereal, mixed, with bananas, dry",77.1,10.7,6.68
"babyfood, cereal, mixed, with bananas, prepared with whole milk",10.0,3.82,5.9
"babyfood, cereal, mixed, with honey, prepared with whole milk",15.9,5.0,0.0
"babyfood, cereal, oatmeal, dry fortified",73.48,10.99,11.67
"babyfood, cereal, oatmeal, prepared with whole milk",15.3,5.0,0.0
"babyfood, cereal, oatmeal, with applesauce and bananas, junior, fortified",16.03,0.89,8.85
"babyfood, cereal, oatmeal, with applesauce and bananas, strained",15.62,0.89,8.85
"babyfood, cereal, oatmeal, with bananas, dry",78.07,6.67,26.66
"babyfood, cereal, oatmeal, with bananas, prepared with whole milk",10.0,3.82,5.9
"babyfood, cereal, oatmeal, with honey, dry",69.3,13.5,0.0
"babyfood, cereal, oatmeal, with honey, prepared with whole milk",15.3,5.0,0.0
"babyfood, cereal, rice with pears and apple, dry, instant fortified",88.5,6.6,1.35
"babyfood, cereal, rice, dry fortified",83.14,6.65,4.85
"babyfood, cereal, rice, prepared with whole milk",10.31,3.45,4.87
"babyfood, cereal, rice, with applesauce and bananas, strained",17.1,1.2,2.24
"babyfood, cereal, rice, with bananas, dry",79.9,8.7,16.7
"babyfood, cereal, rice, with bananas, prepared with whole milk",10.49,3.57,6.13
"babyfood, cereal, rice, with honey, prepared with whole milk",17.1,3.9,0.0
"babyfood, cereal, whole wheat, with apples, dry fortified",83.2,6.6,26.66
"babyfood, cereal, with egg yolks, junior",7.1,1.9,0.0
"babyfood, cereal, with egg yolks, strained",7.0,1.9,0.0
"babyfood, cereal, with eggs, strained",8.0,2.2,0.0
"babyfood, cherry cobbler, junior",19.2,0.3,10.39
"babyfood, cookie, baby, fruit",73.7,6.8,24.2
"babyfood, cookies",67.1,11.8,24.2
"babyfood, cookies, arrowroot",75.4,7.6,0.0
"babyfood, corn and sweet potatoes, strained",15.23,1.26,4.0
"babyfood, crackers, vegetable",66.85,8.4,13.0
"babyfood, dessert, banana pudding, strained",14.14,1.0,10.55
"babyfood, dessert, banana yogurt, strained",17.35,1.1,12.2
"babyfood, dessert, blueberry yogurt, strained",17.05,0.5,13.62
"babyfood, dessert, cherry vanilla pudding, junior",18.4,0.2,16.98
"babyfood, dessert, cherry vanilla pudding, strained",17.8,0.2,9.15
"babyfood, dessert, custard pudding, vanilla, junior",17.58,1.76,12.2
"babyfood, dessert, custard pudding, vanilla, strained",16.0,1.6,11.5
"babyfood, dessert, dutch apple, junior",19.18,0.2,17.89
"babyfood, dessert, dutch apple, strained",19.74,0.2,17.89
"babyfood, dessert, fruit dessert, without ascorbic acid, junior",17.2,0.3,12.0
"babyfood, dessert, fruit dessert, without ascorbic acid, strained",16.0,0.3,12.6
"babyfood, dessert, fruit pudding, orange, strained",17.7,1.1,0.0
"babyfood, dessert, fruit pudding, pineapple, strained",20.3,1.3,10.28
"babyfood, dessert, peach cobbler, junior",18.3,0.3,11.89
"babyfood, dessert, peach cobbler, strained",17.8,0.3,10.62
"babyfood, dessert, peach melba, junior",16.4,0.3,0.0
"babyfood, dessert, peach melba, strained",16.5,0.2,0.0
"babyfood, dessert, peach yogurt",17.6,0.9,11.11
"babyfood, dessert, tropical fruit, junior",16.4,0.2,0.0
"babyfood, dinner, apples and chicken, strained",10.88,2.16,6.06
"babyfood, dinner, beef and rice, toddler",8.8,5.0,0.0
"babyfood, dinner, beef lasagna, toddler",10.0,4.2,0.0
"babyfood, dinner, beef noodle, junior",7.3,2.5,1.45
"babyfood, dinner, beef noodle, strained",8.18,2.44,1.42
"babyfood, dinner, beef with vegetables",6.36,2.03,2.16
"babyfood, dinner, broccoli and chicken, junior",6.34,3.59,1.43
"babyfood, dinner, chicken and rice",9.2,1.6,0.55
"babyfood, dinner, chicken noodle, junior",7.8,3.53,2.67
"babyfood, dinner, chicken noodle, strained",7.81,3.53,2.69
"babyfood, dinner, chicken soup, strained",7.2,1.6,1.72
"babyfood, dinner, chicken stew, toddler",6.4,5.2,1.68
"babyfood, dinner, macaroni and cheese, junior",8.2,2.6,1.32
"babyfood, dinner, macaroni and cheese, strained",8.95,3.14,1.27
"babyfood, dinner, macaroni and tomato and beef, junior",9.4,2.5,2.43
"babyfood, dinner, macaroni and tomato and beef, strained",9.45,2.36,2.09
"babyfood, dinner, macaroni, beef and tomato sauce, toddler",11.53,4.34,0.37
"babyfood, dinner, mixed vegetable, junior",7.88,1.01,3.08
"babyfood, dinner, mixed vegetable, strained",9.5,1.2,0.0
"babyfood, dinner, pasta with vegetables",8.4,1.7,1.2
"babyfood, dinner, spaghetti and tomato and meat, junior",11.42,2.57,2.72
"babyfood, dinner, spaghetti and tomato and meat, toddler",10.8,5.3,0.0
"babyfood, dinner, sweet potatoes and chicken, strained",11.04,2.51,2.65
"babyfood, dinner, turkey and rice, junior",9.57,2.37,1.25
"babyfood, dinner, turkey and rice, strained",7.94,2.27,1.66
"babyfood, dinner, turkey, rice, and vegetables, toddler",7.5,3.8,1.12
"babyfood, dinner, vegetables and beef, junior",8.84,2.21,2.34
"babyfood, dinner, vegetables and beef, strained",8.84,2.21,2.34
"babyfood, dinner, vegetables and chicken, junior",8.66,2.04,1.46
"babyfood, dinner, vegetables and dumplings and beef, junior",8.0,2.1,0.0
"babyfood, dinner, vegetables and dumplings and beef, strained",7.7,2.0,0.0
"babyfood, dinner, vegetables and lamb, junior",7.1,2.1,0.94
"babyfood, dinner, vegetables and noodles and turkey, junior",7.6,1.8,0.0
"babyfood, dinner, vegetables and noodles and turkey, strained",6.8,1.2,0.0
"babyfood, dinner, vegetables and turkey, junior",7.55,1.72,1.36
"babyfood, dinner, vegetables and turkey, strained",7.62,2.32,1.54
"babyfood, dinner, vegetables chicken, strained",8.42,2.47,1.58
"babyfood, dinner, vegetables, noodles and chicken, junior",9.1,1.7,0.0
"babyfood, dinner, vegetables, noodles and chicken, strained",7.9,2.0,0.0
"babyfood, finger snacks, gerber, graduates, puffs, apple and cinnamon",85.79,6.19,17.84
"babyfood, fortified cereal bar, fruit filling",68.63,5.43,42.0
"babyfood, fruit and vegetable, apple and sweet potato",15.3,0.3,11.6
"babyfood, fruit dessert, mango with tapioca",19.0,0.3,13.0
"babyfood, fruit supreme dessert",17.18,0.5,14.87
"babyfood, fruit, apple and blueberry, junior",16.6,0.2,8.83
"babyfood, fruit, apple and blueberry, strained",16.3,0.2,13.93
"babyfood, fruit, apple and raspberry, junior",15.4,0.2,12.96
"babyfood, fruit, apple and raspberry, strained",15.6,0.2,12.96
"babyfood, fruit, applesauce and apricots, junior",12.4,0.2,8.72
"babyfood, fruit, applesauce and apricots, strained",11.64,0.2,9.25
"babyfood, fruit, applesauce and cherries, junior",14.1,0.0,10.61
"babyfood, fruit, applesauce and cherries, strained",14.1,0.0,10.81
"babyfood, fruit, applesauce and pineapple, junior",10.5,0.1,0.0
"babyfood, fruit, applesauce and pineapple, strained",10.1,0.1,0.0
"babyfood, fruit, applesauce with banana, junior",16.16,0.37,4.35
"babyfood, fruit, applesauce, junior",10.3,0.0,8.48
"babyfood, fruit, applesauce, strained",10.8,0.2,9.87
"babyfood, fruit, apricot with tapioca, junior",17.3,0.3,1.4
"babyfood, fruit, apricot with tapioca, strained",16.3,0.3,1.41
"babyfood, fruit, banana and strawberry, junior",25.78,0.71,19.29
"babyfood, fruit, bananas and pineapple with tapioca, junior",18.4,0.2,8.41
"babyfood, fruit, bananas and pineapple with tapioca, strained",17.8,0.2,10.73
"babyfood, fruit, bananas with apples and pears, strained",19.31,0.9,12.76
"babyfood, fruit, bananas with tapioca, junior",17.8,0.4,7.1
"babyfood, fruit, bananas with tapioca, strained",15.3,0.4,0.38
"babyfood, fruit, guava and papaya with tapioca, strained",17.0,0.2,0.0
"babyfood, fruit, papaya and applesauce with tapioca, strained",18.9,0.2,0.0
"babyfood, fruit, peaches, junior",14.48,0.94,11.5
"babyfood, fruit, peaches, strained",14.48,0.94,11.5
"babyfood, fruit, pears and pineapple, junior",11.4,0.3,7.36
"babyfood, fruit, pears and pineapple, strained",10.9,0.3,7.79
"babyfood, fruit, pears, junior",11.6,0.3,7.34
"babyfood, fruit, pears, strained",10.8,0.3,6.98
"babyfood, fruit, plums with tapioca, without ascorbic acid, junior",20.5,0.1,13.64
"babyfood, fruit, plums with tapioca, without ascorbic acid, strained",19.7,0.1,13.34
"babyfood, fruit, prunes with tapioca, without ascorbic acid, junior",18.7,0.6,10.97
"babyfood, fruit, prunes with tapioca, without ascorbic acid, strained",18.5,0.6,10.97
"babyfood, fruit, tutti frutti, junior",16.0,0.4,9.41
"babyfood, fruit, tutti frutti, strained",15.48,0.4,9.29
"babyfood, grape juice, no sugar, canned",15.38,0.0,15.3
"babyfood, green beans and turkey, strained",5.35,4.1,1.39
"babyfood, green beans, dices, toddler",5.7,1.2,1.06
"babyfood, juice treats, fruit medley, toddler",86.68,0.0,57.4
"babyfood, juice, apple",11.7,0.0,10.7
"babyfood, juice, apple - cherry",11.2,0.2,10.5
"babyfood, juice, apple and grape",11.34,0.1,10.9
"babyfood, juice, apple and peach",10.5,0.2,9.59
"babyfood, juice, apple and prune",18.1,0.2,10.58
"babyfood, juice, apple, with calcium",11.1,0.06,9.0
"babyfood, juice, apple-sweet potato",11.4,0.3,9.6
"babyfood, juice, fruit punch, with calcium",12.7,0.2,10.6
"babyfood, juice, mixed fruit",11.7,0.1,8.46
"babyfood, juice, orange",10.2,0.6,8.26
"babyfood, juice, orange and apple",10.1,0.4,0.0
"babyfood, juice, orange and apple and banana",11.5,0.4,10.03
"babyfood, juice, orange and apricot",10.9,0.8,0.0
"babyfood, juice, orange and banana",11.9,0.7,0.0
"babyfood, juice, orange and pineapple",11.7,0.5,0.0
"babyfood, juice, orange-carrot",9.9,0.5,8.4
"babyfood, juice, pear",11.86,0.0,7.28
"babyfood, juice, prune and orange",16.8,0.6,0.0
"babyfood, macaroni and cheese, toddler",11.2,3.5,0.79
"babyfood, mashed cheddar potatoes and broccoli, toddlers",7.47,1.11,1.17
"babyfood, meat, beef with vegetables, toddler",8.72,3.5,1.18
"babyfood, meat, beef, junior",2.43,12.03,0.0
"babyfood, meat, beef, strained",2.43,12.03,0.0
"babyfood, meat, chicken sticks, junior",1.5,14.6,1.4
"babyfood, meat, chicken, junior",0.0,14.0,0.0
"babyfood, meat, chicken, strained",0.1,13.7,0.0
"babyfood, meat, ham, junior",3.7,11.3,0.0
"babyfood, meat, ham, strained",3.7,11.3,0.0
"babyfood, meat, lamb, junior",0.0,15.2,0.0
"babyfood, meat, lamb, strained",0.85,14.07,0.0
"babyfood, meat, meat sticks, junior",1.1,13.4,0.8
"babyfood, meat, pork, strained",0.0,14.0,0.0
"babyfood, meat, turkey sticks, junior",1.4,13.7,1.4
"babyfood, meat, turkey, junior",1.4,11.5,0.0
"babyfood, meat, turkey, strained",1.4,11.5,0.0
"babyfood, meat, veal, strained",1.51,13.12,0.0
"babyfood, mixed fruit juice with low fat yogurt",14.68,2.4,10.8
"babyfood, mixed fruit yogurt, strained",16.23,0.8,11.74
"babyfood, oatmeal cereal with fruit, dry, instant, toddler fortified",74.1,10.5,11.09
"babyfood, peaches, dices, toddler",11.8,0.5,9.49
"babyfood, pears, dices, toddler",13.6,0.3,8.66
"babyfood, peas and brown rice",11.49,3.4,2.89
"babyfood, peas, dices, toddler",10.3,3.9,4.13
"babyfood, plums, bananas and rice, strained",12.7,1.1,9.3
"babyfood, potatoes, toddler",11.73,1.0,0.91
"babyfood, pretzels",82.2,10.8,3.08
"babyfood, prunes, without vitamin c, strained",23.52,1.0,14.28
"babyfood, ravioli, cheese filled, with tomato sauce",16.3,3.6,0.59
"babyfood, rice and apples, dry",86.89,6.7,3.22
"babyfood, rice cereal, dry, earths best organic whole grain, fortified only with iron",78.06,7.5,0.12
"babyfood, snack, gerber graduate fruit  strips, real fruit bars",76.61,0.82,68.65
"babyfood, snack, gerber, graduates, yogurt melts",71.82,14.29,57.14
"babyfood, tropical fruit medley",12.22,0.31,9.78
"babyfood, vegetable and brown rice, strained",12.1,1.9,2.39
"babyfood, vegetable, butternut squash and corn",9.26,2.0,2.93
"babyfood, vegetable, green beans and potatoes",9.0,2.2,2.35
"babyfood, vegetables, beets, strained",7.7,1.3,6.09
"babyfood, vegetables, carrots, junior",7.2,0.8,3.16
"babyfood, vegetables, carrots, strained",6.0,0.8,3.64
